Cat.,Func_name,Test_suite,Time_cost
,fun_1,,0.18400001525878906
,fun_1,,0.16200017929077148
,fun_2,ts2,0.24900007247924805
,fun_3,ts2,0.34599995613098145
,fun_2,ts3,0.24199986457824707
,fun_3,ts3,0.3229999542236328
Total,,,0
Total,,ts2,0.5950000286102295
Total,,ts3,0.5649998188018799
Total,main,,1.5210001468658447
,,,
,fun_1,,0.17400002479553223
,fun_1,,0.1660001277923584
,fun_2,ts2,0.24699997901916504
,fun_3,ts2,0.3469998836517334
,fun_2,ts3,0.2389998435974121
,fun_3,ts3,0.3259999752044678
Total,,,0
Total,,ts2,1.188999891281128
Total,,ts3,1.1299996376037598
Total,main,,1.5199999809265137
,,,
,fun_1,,0.1770000457763672
,fun_1,,0.16200017929077148
,fun_2,ts2,0.24900007247924805
,fun_3,ts2,0.3279998302459717
,fun_2,ts3,0.24099993705749512
,fun_3,ts3,0.32200002670288086
Total,,,0
Total,,ts2,0.5769999027252197
Total,,ts3,0.562999963760376
Total,main,,1.496000051498413
,,,
,fun_1,,0.17299985885620117
,fun_1,,0.15999984741210938
,fun_2,ts2,0.25
,fun_3,ts2,0.3280000686645508
,fun_2,ts3,0.24100017547607422
,fun_3,ts3,0.32200002670288086
Total,,,0
Total,,ts2,0.5780000686645508
Total,,ts3,0.5630002021789551
Total,main,,1.491999864578247
,,,
